COD_ATIVIDADE;COD_OBRA;DT_INICIO;DT_PREVISAO;DT_ENTREGA;STATUS_ATIVIDADE
1;1;14/08/2025;05/09/2025;;AGUARDANDO INICIO
2;1;25/08/2025;23/09/2025;;AGUARDANDO INICIO
3;1;01/09/2025;19/09/2025;;AGUARDANDO INICIO
4;1;22/09/2025;08/10/2025;;AGUARDANDO INICIO
5;1;25/09/2025;12/10/2025;;AGUARDANDO INICIO
6;1;30/09/2025;15/10/2025;;AGUARDANDO INICIO
1;2;14/08/2025;05/09/2025;;AGUARDANDO INICIO
2;2;25/08/2025;12/09/2025;;AGUARDANDO INICIO
3;2;01/09/2025;19/09/2025;;AGUARDANDO INICIO
4;2;22/09/2025;08/10/2025;;AGUARDANDO INICIO
5;2;25/09/2025;12/10/2025;;AGUARDANDO INICIO
6;2;30/09/2025;15/10/2025;;AGUARDANDO INICIO
7;1;26/09/2025;16/10/2025;;AGUARDANDO INICIO
7;2;26/09/2025;16/10/2025;;AGUARDANDO INICIO
8;1;01/09/2025;19/09/2025;;AGUARDANDO INICIO
8;2;01/09/2025;19/09/2025;;AGUARDANDO INICIO
9;1;25/09/2025;12/10/2025;;AGUARDANDO INICIO
9;2;25/09/2025;12/10/2025;;AGUARDANDO INICIO
